name;id;name_type;class;mass;fall;year;lat;long;geolocation
Elbogen;7823;Valid;Iron, IID;107000;Fell;1399;5.018.333;1.273.333;(50.18333, 12.73333)
Elenovka;7824;Valid;L5;54640;Fell;1951;4.783.333;3.766.667;(47.83333, 37.66667)
Ellemeet;10019;Valid;Diogenite;1470;Fell;1925;51.75;4;(51.75, 4.0)
Emmaville;10033;Valid;Eucrite-mmict;127;Fell;1900;-2.946.667;15.161.667;(-29.46667, 151.61667)
Enshi;10038;Valid;H5;8000;Fell;1974;30.3;109.5;(30.3, 109.5)
Ensisheim;10039;Valid;LL6;127000;Fell;1491;4.786.667;7.35;(47.86667, 7.35)
êpinal;10041;Valid;H5;277;Fell;1822;4.818.333;646.667;(48.18333, 6.46667)
Erakot;10042;Valid;CM2;113;Fell;1940;1.903.333;8.189.167;(19.03333, 81.89167)
Erevan;10043;Valid;Howardite;107.2;Fell;1911;40.3;44.5;(40.3, 44.5)
Ergheo;10044;Valid;L5;20000;Fell;1889;116.667;4.416.667;(1.16667, 44.16667)
Erxleben;10049;Valid;H6;2250;Fell;1812;5.221.667;11.25;(52.21667, 11.25)
Esnandes;10051;Valid;L6;1500;Fell;1837;46.25;-1.1;(46.25, -1.1)
Essebi;10055;Valid;C2-ung;500;Fell;1957;288.333;3.083.333;(2.88333, 30.83333)
Estherville;10059;Valid;Mesosiderite-A3/4;320000;Fell;1879;4.341.667;-9.483.333;(43.41667, -94.83333)
Farmington;10074;Valid;L5;89400;Fell;1890;39.75;-9.703.333;(39.75, -97.03333)
Farmville;10075;Valid;H4;56000;Fell;1934;35.55;-7.753.333;(35.55, -77.53333)
Favars;10078;Valid;H5;1500;Fell;1844;4.438.333;281.667;(44.38333, 2.81667)
Fayetteville;10079;Valid;H4;2360;Fell;1934;36.05;-9.416.667;(36.05, -94.16667)
Feid Chair;10080;Valid;H4;380;Fell;1875;3.688.333;8.45;(36.88333, 8.45)
Felix;10081;Valid;CO3.3;3200;Fell;1900;3.253.333;-8.716.667;(32.53333, -87.16667)
Fenghsien-Ku;10086;Valid;H5;82;Fell;1924;34.6;116.75;(34.6, 116.75)
Ferguson;10088;Valid;OC;220;Fell;1889;36.1;-8.141.667;(36.1, -81.41667)
Fermo;10091;Valid;H3-5;10200;Fell;1996;4.318.111;1.375.333;(43.18111, 13.75333)
Fisher;10107;Valid;L6;17600;Fell;1894;4.781.667;-96.85;(47.81667, -96.85)
Florence;10111;Valid;H3;3640;Fell;1922;3.083.333;-9.776.667;(30.83333, -97.76667)
Forest City;10119;Valid;H5;152000;Fell;1890;43.25;-9.366.667;(43.25, -93.66667)
Forest Vale;10120;Valid;H4;26000;Fell;1942;-33.35;14.685.833;(-33.35, 146.85833)
Forksville;10123;Valid;L6;6067;Fell;1924;3.678.333;-7.808.333;(36.78333, -78.08333)
Forsbach;10163;Valid;H6;240;Fell;1900;50.95;731.667;(50.95, 7.31667)
Forsyth;10164;Valid;L6;16300;Fell;1829;3.301.667;-8.396.667;(33.01667, -83.96667)
Fort Flatters;10166;Valid;Stone-uncl;NA;Fell;1944;28.25;7;(28.25, 7.0)
Frankfort (stone);10177;Valid;Howardite;650;Fell;1868;3.448.333;-8.783.333;(34.48333, -87.83333)
Fuhe;52412;Valid;L5;23000;Fell;1945;3.147.556;11.356.694;(31.47556, 113.56694)
Fukutomi;10836;Valid;L5;11620;Fell;1882;3.318.333;130.2;(33.18333, 130.2)
FÅnen;10838;Valid;Stone-uncl;NA;Fell;1654;5.533.333;1.033.333;(55.33333, 10.33333)
Futtehpur;10839;Valid;L6;4000;Fell;1822;25.95;8.081.667;(25.95, 80.81667)
Fuyang;10840;Valid;Stone-uncl;2500;Fell;1977;32.9;115.9;(32.9, 115.9)
Galapian;10846;Valid;H6;132.7;Fell;1826;44.3;0.4;(44.3, 0.4)
Galim (a);10848;Valid;LL6;36.1;Fell;1952;7.05;1.243.333;(7.05, 12.43333)
Galim (b);10849;Valid;EH3/4-an;28;Fell;1952;7.05;1.243.333;(7.05, 12.43333)
Galkiv;10850;Valid;H4;5000;Fell;1995;5.168.333;3.078.333;(51.68333, 30.78333)
Gambat;10851;Valid;L6;6400;Fell;1897;27.35;6.853.333;(27.35, 68.53333)
Gao-Guenie;10854;Valid;H5;NA;Fell;1960;11.65;-218.333;(11.65, -2.18333)
Garhi Yasin;10860;Valid;Iron, IIE;380;Fell;1917;2.788.333;6.853.333;(27.88333, 68.53333)
Garland;10861;Valid;Diogenite-pm;102;Fell;1950;4.168.333;-11.213.333;(41.68333, -112.13333)
Gashua;44882;Valid;L6;4162;Fell;1984;12.85;1.103.333;(12.85, 11.03333)
Gasseltepaoua;10866;Valid;H5;NA;Fell;2000;1.415.083;-204.167;(14.15083, -2.04167)
Geidam;10870;Valid;H5;725;Fell;1950;1.291.667;1.191.667;(12.91667, 11.91667)
Gifu;10914;Valid;L6;14290;Fell;1909;3.553.333;13.688.333;(35.53333, 136.88333)
Girgenti;10917;Valid;L6;18000;Fell;1853;3.731.667;1.356.667;(37.31667, 13.56667)
Git-Git;10919;Valid;L6;480;Fell;1947;9.6;991.667;(9.6, 9.91667)
Glanerbrug;10923;Valid;L/LL5;670;Fell;1990;52.2;686.667;(52.2, 6.86667)
Glanggang;10924;Valid;H5-6;1303;Fell;1939;-7.25;107.7;(-7.25, 107.7)
Glasatovo;10926;Valid;H4;152000;Fell;1918;57.35;3.761.667;(57.35, 37.61667)
Glatton;10930;Valid;L6;767;Fell;1991;5.245.972;-0.3;(52.45972, -0.3)
Gnadenfrei;10936;Valid;H5;1750;Fell;1879;5.066.667;1.676.667;(50.66667, 16.76667)
Gopalpur;10948;Valid;H6;1600;Fell;1865;2.423.333;89.05;(24.23333, 89.05)
Gorlovka;10949;Valid;H3.7;3618;Fell;1974;4.828.333;3.808.333;(48.28333, 38.08333)
Granes;10956;Valid;L6;9000;Fell;1964;42.9;2.25;(42.9, 2.25)
Grefsheim;11196;Valid;L5;45.5;Fell;1976;6.066.667;11;(60.66667, 11.0)
Grimsby;50911;Valid;H5;215;Fell;2009;43.2;-7.961.667;(43.2, -79.61667)
Grosnaja;11206;Valid;CV3;3500;Fell;1861;4.366.667;4.538.333;(43.66667, 45.38333)
Gross-Divina;11207;Valid;H5;10500;Fell;1837;4.926.667;1.871.667;(49.26667, 18.71667)
Grossliebenthal;11208;Valid;L6;8000;Fell;1881;46.35;3.058.333;(46.35, 30.58333)
GrÅneberg;11426;Valid;H4;1000;Fell;1841;5.193.333;15.5;(51.93333, 15.5)
Grzempach;11429;Valid;H5;690;Fell;1910;5.286.667;1.663.333;(52.86667, 16.63333)
Gualeguaych£;11432;Valid;H6;22000;Fell;1932;-33;-5.861.667;(-33.0, -58.61667)
Guangmingshan;11435;Valid;H5;2910;Fell;1996;3.980.417;12.276.389;(39.80417, 122.76389)
Guangnan;11436;Valid;L6;NA;Fell;1983;24.1;105;(24.1, 105.0)
Guangrao;11437;Valid;L6;1900;Fell;1980;37.1;118.4;(37.1, 118.4)
Guare§a;11439;Valid;H6;39000;Fell;1892;3.873.333;-601.667;(38.73333, -6.01667)
Guàa;11440;Valid;Stone-uncl;1915;Fell;1891;4.376.667;2.023.333;(43.76667, 20.23333)
Guibga;11442;Valid;L5;288;Fell;1972;13.5;-0.68333;(13.5, -0.68333)
Guidder;11443;Valid;LL5;968;Fell;1949;991.667;1.398.333;(9.91667, 13.98333)
Gujargaon;11448;Valid;H5;2449;Fell;1982;2.298.333;76.05;(22.98333, 76.05)
Gujba;11449;Valid;CBa;100000;Fell;1984;1.149.167;1.165.833;(11.49167, 11.65833)
Gumoschnik;11450;Valid;H5;5700;Fell;1904;42.9;24.7;(42.9, 24.7)
Gurram Konda;11464;Valid;L6;28;Fell;1814;1.378.333;7.856.667;(13.78333, 78.56667)
Gursum;11465;Valid;H4/5;34650;Fell;1981;936.667;4.241.667;(9.36667, 42.41667)
GÅtersloh;11466;Valid;H3/4;1000;Fell;1851;5.191.667;838.333;(51.91667, 8.38333)
Gyokukei;11467;Valid;OC;1320;Fell;1930;35;127.5;(35.0, 127.5)
Hachi-oji;11468;Valid;H?;0.2;Fell;1817;35.65;13.933.333;(35.65, 139.33333)
Hainaut;11472;Valid;H3-6;9000;Fell;1934;5.031.667;373.333;(50.31667, 3.73333)
Hallingeberg;11479;Valid;L3.4;1456;Fell;1944;5.781.667;1.623.333;(57.81667, 16.23333)
Hamlet;11485;Valid;LL4;3710;Fell;1959;4.138.333;-86.6;(41.38333, -86.6)
Haraiya;11824;Valid;Eucrite-mmict;1000;Fell;1878;26.8;8.253.333;(26.8, 82.53333)
Haripura;11829;Valid;CM2;315;Fell;1921;2.838.333;7.578.333;(28.38333, 75.78333)
Harleton;11830;Valid;L6;8360;Fell;1961;32.675;-9.451.167;(32.675, -94.51167)
Harrison County;11842;Valid;L6;680;Fell;1859;38.25;-8.616.667;(38.25, -86.16667)
Hashima;11848;Valid;H4;1110.6;Fell;1910;352.945;13.670.033;(35.2945, 136.70033)
Hassi-Jekna;11852;Valid;Iron, IAB-sHL;1250;Fell;1890;28.95;0.81667;(28.95, 0.81667)
Hatford;11855;Valid;Stone-uncl;29000;Fell;1628;51.65;-151.667;(51.65, -1.51667)
Haverî;11859;Valid;Ureilite;1544;Fell;1971;6.024.556;2.206.194;(60.24556, 22.06194)
Hedeskoga;11869;Valid;H5;3500;Fell;1922;5.546.667;1.378.333;(55.46667, 13.78333)
Hedjaz;11870;Valid;L3.7-6;6100;Fell;1910;2.733.333;3.566.667;(27.33333, 35.66667)
Heredia;11875;Valid;H5;1000;Fell;1857;10;-84.1;(10.0, -84.1)
Hessle;11878;Valid;H5;20000;Fell;1869;59.85;1.766.667;(59.85, 17.66667)
Higashi-koen;11883;Valid;H5;750;Fell;1897;33.6;13.043.333;(33.6, 130.43333)
High Possil;11884;Valid;L6;4500;Fell;1804;55.9;-423.333;(55.9, -4.23333)
Hiroshima;11889;Valid;H5;414;Fell;2003;34.45;13.238.333;(34.45, 132.38333)
Hoima;44714;Valid;H6;167.7;Fell;2003;1.345;3.147.278;(1.345, 31.47278)
Hîkmark;11893;Valid;L4;305.5;Fell;1954;6.443.333;21.2;(64.43333, 21.2)
Holbrook;11894;Valid;L/LL6;220000;Fell;1912;34.9;-11.018.333;(34.9, -110.18333)
Holetta;11895;Valid;Stone-uncl;1415;Fell;1923;906.667;3.841.667;(9.06667, 38.41667)
Homestead;11901;Valid;L5;230000;Fell;1875;41.8;-9.186.667;(41.8, -91.86667)
Honolulu;11904;Valid;L5;2420;Fell;1825;21.3;-15.786.667;(21.3, -157.86667)
Hotse;11913;Valid;L6;180;Fell;1956;3.566.667;115.5;(35.66667, 115.5)
Hoxie;11915;Valid;OC;266.1;Fell;1963;39.35;-100.45;(39.35, -100.45)
Hraschina;11916;Valid;Iron, IID;49000;Fell;1751;46.1;1.633.333;(46.1, 16.33333)
Huaxi;54719;Valid;H5;1600;Fell;2010;2.646.469;10.663.241;(26.46469, 106.63241)
Hungen;11986;Valid;H6;112;Fell;1877;50.3;891.667;(50.3, 8.91667)
Hvittis;11989;Valid;EL6;14000;Fell;1901;6.118.333;2.268.333;(61.18333, 22.68333)
IbbenbÅren;11992;Valid;Diogenite;2000;Fell;1870;5.228.333;7.7;(52.28333, 7.7)
Ibitira;11993;Valid;Eucrite-mmict;2500;Fell;1957;-20;-45;(-20.0, -45.0)
Ibrisim;11994;Valid;OC;NA;Fell;1949;38;35;(38.0, 35.0)
Ichkala;11995;Valid;H6;3973;Fell;1936;58.2;8.293.333;(58.2, 82.93333)
Idutywa;12000;Valid;H5;3457;Fell;1956;-32.1;2.833.333;(-32.1, 28.33333)
Iguaracu;12003;Valid;H5;1200;Fell;1977;-23.2;-5.183.333;(-23.2, -51.83333)
Ijopega;12004;Valid;H6;7330;Fell;1975;-603.333;14.536.667;(-6.03333, 145.36667)
Indarch;12027;Valid;EH4;27000;Fell;1891;39.75;4.666.667;(39.75, 46.66667)
Independence;12028;Valid;L6;880;Fell;1917;3.908.333;-94.4;(39.08333, -94.4)
Inner Mongolia;12037;Valid;L6;3000;Fell;1963;41;112;(41.0, 112.0)
Innisfree;12039;Valid;L5;4576;Fell;1977;53.415;-1.113.375;(53.415, -111.3375)
Ipiranga;12043;Valid;H6;7000;Fell;1972;-25.5;-54.5;(-25.5, -54.5)
Ishinga;12049;Valid;H;1300;Fell;1954;-893.333;33.8;(-8.93333, 33.8)
Isthilart;12053;Valid;H5;3050;Fell;1928;-3.118.333;-57.95;(-31.18333, -57.95)
Itapicuru-Mirim;12056;Valid;H5;2024;Fell;1879;-3.4;-4.433.333;(-3.4, -44.33333)
Itqiy;12058;Valid;EH7-an;4720;Fell;1990;2.659.083;-1.295.217;(26.59083, -12.95217)
Ivuna;12063;Valid;CI1;704.5;Fell;1938;-841.667;3.243.333;(-8.41667, 32.43333)
Jackalsfontein;12065;Valid;L6;48000;Fell;1903;-32.5;21.9;(-32.5, 21.9)
Jajh deh Kot Lalu;12067;Valid;EL6;973;Fell;1926;26.75;6.841.667;(26.75, 68.41667)
Jalanash;12068;Valid;Ureilite;700;Fell;1990;NA;NA;NA
Jalandhar;12069;Valid;Iron;1967;Fell;1621;31;75;(31.0, 75.0)
Jamkheir;12072;Valid;H6;22;Fell;1866;18.75;7.533.333;(18.75, 75.33333)
Jartai;12074;Valid;L6;20500;Fell;1979;39.7;105.8;(39.7, 105.8)
Jelica;12078;Valid;LL6;34000;Fell;1889;4.383.333;2.044.167;(43.83333, 20.44167)
Jemlapur;12079;Valid;L6;450;Fell;1901;NA;NA;NA
Jesenice;51589;Valid;L6;3667;Fell;2009;4.642.137;1.405.217;(46.42137, 14.05217)
Jhung;12085;Valid;L5;5900;Fell;1873;31.3;7.238.333;(31.3, 72.38333)
Jiange;12086;Valid;H5;222;Fell;1964;3.191.667;10.491.667;(31.91667, 104.91667)
Jianshi;12087;Valid;Iron, IIIAB;600000;Fell;1890;3.080.833;109.5;(30.80833, 109.5)
Jilin;12171;Valid;H5;4000000;Fell;1976;44.05;12.616.667;(44.05, 126.16667)
Jodiya;47362;Valid;L5;100;Fell;2006;22.68;7.031.333;(22.68, 70.31333)
Jodzie;12173;Valid;Howardite;30;Fell;1877;55.7;24.4;(55.7, 24.4)
Johnstown;12198;Valid;Diogenite;40300;Fell;1924;40.35;-104.9;(40.35, -104.9)
Jolomba;12199;Valid;LL6;483;Fell;1974;-11.85;1.583.333;(-11.85, 15.83333)
Jonzac;12202;Valid;Eucrite-mmict;5000;Fell;1819;4.543.333;-0.45;(45.43333, -0.45)
Juancheng;12203;Valid;H5;100000;Fell;1997;35.5;11.541.667;(35.5, 115.41667)
Judesegeri;12207;Valid;H6;680;Fell;1876;12.85;76.8;(12.85, 76.8)
Jumapalo;12209;Valid;L6;32490;Fell;1984;-771.667;111.2;(-7.71667, 111.2)
Junan;12210;Valid;L6;950;Fell;1976;35.2;118.8;(35.2, 118.8)
Juromenha;12213;Valid;Iron, IIIAB;25250;Fell;1968;3.874.028;-7.27;(38.74028, -7.27)
Juvinas;12214;Valid;Eucrite-mmict;91000;Fell;1821;4.471.667;4.3;(44.71667, 4.3)
Kaba;12218;Valid;CV3;3000;Fell;1857;47.35;21.3;(47.35, 21.3)
Kabo;12220;Valid;H4;13400;Fell;1971;11.85;821.667;(11.85, 8.21667)
Kadonah;12221;Valid;H6;89;Fell;1822;2.708.333;7.833.333;(27.08333, 78.33333)
Kaee;12222;Valid;H5;230;Fell;1838;27.25;7.996.667;(27.25, 79.96667)
Kagarlyk;12227;Valid;L6;1900;Fell;1908;4.986.667;3.083.333;(49.86667, 30.83333)
Kaidun;12228;Valid;CR2;2000;Fell;1980;15;48.3;(15.0, 48.3)
Kainsaz;12229;Valid;CO3.2;200000;Fell;1937;5.543.333;53.25;(55.43333, 53.25)
Kakangari;12230;Valid;K3;350;Fell;1890;1.238.333;7.851.667;(12.38333, 78.51667)
Kakowa;12231;Valid;L6;577;Fell;1858;4.513.333;2.166.667;(45.13333, 21.66667)
Kalaba;12232;Valid;H4;950;Fell;1951;-683.333;29.5;(-6.83333, 29.5)
Kalumbi;12236;Valid;L6;4500;Fell;1879;1.783.333;7.398.333;(17.83333, 73.98333)
Kamalpur;12238;Valid;L6;2770;Fell;1942;2.603.333;8.146.667;(26.03333, 81.46667)
Kamiomi;12240;Valid;H5;448;Fell;1913;3.604.167;13.995.667;(36.04167, 139.95667)
Kamsagar;12241;Valid;L6;1293;Fell;1902;1.418.333;75.8;(14.18333, 75.8)
Kandahar (Afghanistan);12243;Valid;L6;299;Fell;1959;31.6;6.578.333;(31.6, 65.78333)
Kangean;12245;Valid;H5;1630;Fell;1908;-7;115.5;(-7.0, 115.5)
Kangra Valley;12246;Valid;H5;400;Fell;1897;3.208.333;76.3;(32.08333, 76.3)
Kapoeta;12251;Valid;Howardite;11355;Fell;1942;4.7;3.363.333;(4.7, 33.63333)
Kaprada;47357;Valid;L5/6;1600;Fell;2004;2.033.916;7.322.329;(20.33916, 73.22329)
Kaptal-Aryk;12253;Valid;L6;3500;Fell;1937;42.45;7.336.667;(42.45, 73.36667)
Karakol;12256;Valid;LL6;3000;Fell;1840;4.721.667;8.101.667;(47.21667, 81.01667)
Karatu;12258;Valid;LL6;2220;Fell;1963;-3.5;3.558.333;(-3.5, 35.58333)
Karewar;12260;Valid;L6;180;Fell;1949;12.9;7.15;(12.9, 7.15)
Karkh;12262;Valid;L6;22000;Fell;1905;27.8;6.716.667;(27.8, 67.16667)
Karloowala;12263;Valid;L6;2950;Fell;1955;3.158.333;71.6;(31.58333, 71.6)
Karoonda;12264;Valid;CK4;41730;Fell;1930;-3.508.333;13.991.667;(-35.08333, 139.91667)
Kasamatsu;12266;Valid;H;710;Fell;1938;3.536.667;13.676.667;(35.36667, 136.76667)
Kasauli;30740;Valid;H4;16820;Fell;2003;2.958.333;7.758.333;(29.58333, 77.58333)
Katagum;35465;Valid;L6;1500;Fell;1999;1.133.333;1.008.333;(11.33333, 10.08333)
Kavarpura;47351;Valid;Iron, IIE-an;6800;Fell;2006;2.514.333;7.581.333;(25.14333, 75.81333)
Kayakent;12268;Valid;Iron, IIIAB;85000;Fell;1961;3.926.333;31.78;(39.26333, 31.78)
Kediri;12270;Valid;L4;3300;Fell;1940;-7.75;11.201.667;(-7.75, 112.01667)
Kemer;53654;Valid;L4;5760;Fell;2008;3.654.194;2.941.822;(36.54194, 29.41822)
Kendleton;12275;Valid;L4;6937;Fell;1939;29.45;-96;(29.45, -96.0)
Kendrapara;12276;Valid;H4-5;6669.2;Fell;2003;204.625;8.670.278;(20.4625, 86.70278)
Kerilis;12282;Valid;H5;5000;Fell;1874;48.4;-3.3;(48.4, -3.3)
Kernouve;12284;Valid;H6;80000;Fell;1869;4.811.667;-308.333;(48.11667, -3.08333)
Kesen;12286;Valid;H4;135000;Fell;1850;3.898.333;14.161.667;(38.98333, 141.61667)
Khairpur;12288;Valid;EL6;13600;Fell;1873;2.953.333;72.3;(29.53333, 72.3)
Khanpur;12289;Valid;LL5;3698;Fell;1932;25.55;8.311.667;(25.55, 83.11667)
Kharkov;12291;Valid;L6;1500;Fell;1787;50.625;35.075;(50.625, 35.075)
Kheragur;12294;Valid;L6;450;Fell;1860;26.95;7.788.333;(26.95, 77.88333)
Khetri;12296;Valid;H6;100;Fell;1867;2.801.667;7.581.667;(28.01667, 75.81667)
Khmelevka;12297;Valid;L5;6109;Fell;1929;56.75;7.533.333;(56.75, 75.33333)
Khohar;12298;Valid;L3.6;9700;Fell;1910;25.1;8.153.333;(25.1, 81.53333)
Khor Temiki;12299;Valid;Aubrite;3200;Fell;1932;16;36;(16.0, 36.0)
Kidairat;12300;Valid;H6;100000;Fell;1983;14;28;(14.0, 28.0)
Kiel;12301;Valid;L6;737.6;Fell;1962;54.4;10.15;(54.4, 10.15)
Kiffa;12303;Valid;H5;1500;Fell;1970;1.658.333;-1.133.333;(16.58333, -11.33333)
Kijima (1906);12305;Valid;Stone-uncl;331;Fell;1906;36.85;13.838.333;(36.85, 138.38333)
Kikino;12306;Valid;H6;195;Fell;1809;55;34;(55.0, 34.0)
Kilabo;12307;Valid;LL6;19000;Fell;2002;1.276.667;9.8;(12.76667, 9.8)
Kilbourn;12308;Valid;H5;772;Fell;1911;4.358.333;-89.6;(43.58333, -89.6)
Killeter;12309;Valid;H6;140;Fell;1844;5.466.667;-766.667;(54.66667, -7.66667)
Kingai;12316;Valid;H6;67.4;Fell;1967;1.163.333;2.468.333;(11.63333, 24.68333)
Kirbyville;12321;Valid;Eucrite-mmict;97.7;Fell;1906;30.75;-95.95;(30.75, -95.95)
Kisvars†ny;12325;Valid;L6;1550;Fell;1914;4.816.667;2.230.833;(48.16667, 22.30833)
Kitchener;12326;Valid;L6;202.6;Fell;1998;4.338.333;-8.038.333;(43.38333, -80.38333)
Klein-Wenden;12332;Valid;H6;3250;Fell;1843;51.6;10.8;(51.6, 10.8)
Knyahinya;12335;Valid;L/LL5;500000;Fell;1866;48.9;22.4;(48.9, 22.4)
Kobe;12336;Valid;CK4;136;Fell;1999;3.473.333;13.516.667;(34.73333, 135.16667)
Kokubunji;12342;Valid;L6;11510;Fell;1986;34.3;133.95;(34.3, 133.95)
Komagome;12343;Valid;Iron;238;Fell;1926;3.573.333;139.75;(35.73333, 139.75)
Konovo;12344;Valid;LL5;90;Fell;1931;4.251.667;2.616.667;(42.51667, 26.16667)
Ko?ice;53810;Valid;H5;4300;Fell;2010;4.876.367;2.117.633;(48.76367, 21.17633)
KrÑhenberg;12353;Valid;LL5;16500;Fell;1869;4.932.694;746.472;(49.32694, 7.46472)
Krasnoi-Ugol;12355;Valid;L6;2440;Fell;1829;5.403.333;40.9;(54.03333, 40.9)
Krasnyi Klyuch;12357;Valid;H5;4000;Fell;1946;5.433.333;5.608.333;(54.33333, 56.08333)
Krutikha;12363;Valid;OC;845.2;Fell;1906;56.8;77;(56.8, 77.0)
Krymka;12364;Valid;LL3.2;50000;Fell;1946;4.783.333;3.076.667;(47.83333, 30.76667)
Kukschin;12368;Valid;L6;2250;Fell;1938;51.15;31.7;(51.15, 31.7)
Kulak;12369;Valid;L5;453.6;Fell;1961;3.073.111;6.680.222;(30.73111, 66.80222)
Kuleschovka;12370;Valid;L6;6000;Fell;1811;50.75;33.5;(50.75, 33.5)
Kulp;12373;Valid;H6;3719;Fell;1906;4.111.667;45;(41.11667, 45.0)
Kunashak;12377;Valid;L6;200000;Fell;1949;5.578.333;6.136.667;(55.78333, 61.36667)
Kunya-Urgench;12379;Valid;H5;1100000;Fell;1998;42.25;59.2;(42.25, 59.2)
Kushiike;12381;Valid;OC;4460;Fell;1920;37.05;13.838.333;(37.05, 138.38333)
Kusiali;12382;Valid;L6;5;Fell;1860;2.968.333;7.838.333;(29.68333, 78.38333)
Kutais;12383;Valid;H5;23;Fell;1977;4.451.667;39.3;(44.51667, 39.3)
Kuttippuram;12384;Valid;L6;45000;Fell;1914;1.083.333;7.603.333;(10.83333, 76.03333)
Kuznetzovo;12385;Valid;L6;4047;Fell;1932;55.2;7.533.333;(55.2, 75.33333)
Kyushu;12390;Valid;L6;45000;Fell;1886;3.203.333;13.063.333;(32.03333, 130.63333)
La BÇcasse;12392;Valid;L6;2800;Fell;1879;4.708.333;1.75;(47.08333, 1.75)
La Charca;12394;Valid;OC;399;Fell;1878;2.066.667;-10.128.333;(20.66667, -101.28333)
La Colina;12395;Valid;H5;2000;Fell;1924;-3.733.333;-6.153.333;(-37.33333, -61.53333)
La Criolla;12396;Valid;L6;45000;Fell;1985;-3.123.333;-5.816.667;(-31.23333, -58.16667)
Laborel;12408;Valid;H5;3833;Fell;1871;4.428.333;558.333;(44.28333, 5.58333)
Lahrauli;12433;Valid;Ureilite;900;Fell;1955;2.678.333;8.271.667;(26.78333, 82.71667)
L'Aigle;12434;Valid;L6;37000;Fell;1803;4.876.667;0.63333;(48.76667, 0.63333)
Cumulus Hills 04075;32531;Valid;Pallasite;9.6;Found;2003;NA;NA;NA
Lakangaon;12435;Valid;Eucrite-mmict;212.5;Fell;1910;2.186.667;7.603.333;(21.86667, 76.03333)
Lalitpur;12451;Valid;L6;372;Fell;1887;24.45;7.856.667;(24.45, 78.56667)
LancÇ;12455;Valid;CO3.5;51700;Fell;1872;47.7;106.667;(47.7, 1.06667)
Lancon;12456;Valid;H6;7000;Fell;1897;43.75;511.667;(43.75, 5.11667)
LÜnghalsen;12461;Valid;L6;2300;Fell;1947;58.85;1.673.333;(58.85, 16.73333)
Lanxi;12464;Valid;L6;1282;Fell;1986;4.624.167;12.619.611;(46.24167, 126.19611)
Lanzenkirchen;12465;Valid;L4;7000;Fell;1925;47.75;1.623.333;(47.75, 16.23333)
Laochenzhen;12466;Valid;H5;14250;Fell;1987;3.313.333;11.516.667;(33.13333, 115.16667)
Launton;12740;Valid;L6;1060;Fell;1830;51.9;-111.667;(51.9, -1.11667)
Lavrentievka;12743;Valid;L6;800;Fell;1938;52.45;5.156.667;(52.45, 51.56667)
Le Pressoir;12748;Valid;H5;3000;Fell;1845;4.716.667;0.43333;(47.16667, 0.43333)
Le Teilleul;12749;Valid;Howardite;780;Fell;1845;4.853.333;-0.86667;(48.53333, -0.86667)
Leedey;12755;Valid;L6;51500;Fell;1943;3.588.333;-9.933.333;(35.88333, -99.33333)
Leeuwfontein;12756;Valid;L6;460;Fell;1912;-2.566.667;2.836.667;(-25.66667, 28.36667)
Leighlinbridge;12759;Valid;L6;271.4;Fell;1999;5.266.667;-696.667;(52.66667, -6.96667)
Leighton;12760;Valid;H5;877;Fell;1907;3.458.333;-87.5;(34.58333, -87.5)
Leonovka;12765;Valid;L6;700;Fell;1900;5.226.667;32.85;(52.26667, 32.85)
Les Ormes;12769;Valid;L6;125;Fell;1857;48.35;3.25;(48.35, 3.25)
Lesves;12772;Valid;L6;2000;Fell;1896;5.036.667;473.333;(50.36667, 4.73333)
Lichtenberg;14646;Valid;H6;4000;Fell;1973;-26.15;2.618.333;(-26.15, 26.18333)
Lillaverke;14650;Valid;H5;6862;Fell;1930;56.65;1.586.667;(56.65, 15.86667)
Limerick;14652;Valid;H5;50000;Fell;1813;5.256.667;-878.333;(52.56667, -8.78333)
Linum;14655;Valid;L6;1862;Fell;1854;52.75;12.9;(52.75, 12.9)
Lishui;14659;Valid;L5;498;Fell;1978;3.163.333;11.898.333;(31.63333, 118.98333)
Lissa;14661;Valid;L6;12800;Fell;1808;50.2;14.85;(50.2, 14.85)
Little Piney;14664;Valid;L5;491;Fell;1839;3.791.667;-9.208.333;(37.91667, -92.08333)
Lixna;14670;Valid;H4;5213;Fell;1820;56;2.643.333;(56.0, 26.43333)
Lodran;14675;Valid;Lodranite;1000;Fell;1868;2.953.333;71.8;(29.53333, 71.8)
Lohawat;14678;Valid;Howardite;40000;Fell;1994;2.696.556;7.262.667;(26.96556, 72.62667)
Lorton;52843;Valid;L6;329.7;Fell;2010;3.870.066;-7.721.163;(38.70066, -77.21163)
Los Martinez;14708;Valid;L6;25;Fell;1894;38;-0.83333;(38.0, -0.83333)
Lost City;14711;Valid;H5;17000;Fell;1970;3.600.833;-95.15;(36.00833, -95.15)
Louisville;14716;Valid;L6;1300;Fell;1977;38.25;-85.75;(38.25, -85.75)
?owicz;14718;Valid;Mesosiderite-A3;59000;Fell;1935;52;1.991.667;(52.0, 19.91667)
Lua;14721;Valid;L5;9241;Fell;1926;24.95;75.15;(24.95, 75.15)
LucÇ;14724;Valid;L6;3500;Fell;1768;47.85;0.48333;(47.85, 0.48333)
Lumpkin;14753;Valid;L6;340;Fell;1869;3.203.333;-8.476.667;(32.03333, -84.76667)
Lunan;14754;Valid;H6;2520;Fell;1980;24.8;103.3;(24.8, 103.3)
